,disease,feature,therapy,text
0,Chronic Myelogenous Leukemia,Rearrangement,Bosutinib,"INDICATIONS AND USAGE-------------------------- with CML are diarrhea, abdominal pain, vomiting, nausea, rash, fatigue, BOSULIF is a kinase inhibitor indicated for the treatment of hepatic dysfunction, headache, pyrexia, decreased appetite respiratory tract 
infection, and constipation. The most common laboratory abnormalities • adult and pediatric patients 1 year of age and older with chronic phase Ph+ (≥20%) in adult and pediatric patients are creatinine increased, hemoglobin chronic myelogenous leukemia (CML), newly-diagnosed or resistant or decreased, lymphocyte count decreased, platelets decreased, ALT intolerant to prior therapy. (1) increased, calcium decreased, white blood cell count decreased, AST 
• adult patients with accelerated, or blast phase Ph+ CML with resistance or increased, absolute neutrophil count decreased, glucose increased, intolerance to prior therapy. (1) phosphorus decreased, urate increased, alkaline phosphatase increased, 
lipase increased, creatine kinase increased, and amylase increased. (6.1) ----------------------"
1,Chronic Myelogenous Leukemia,Rearrangement,Dasatinib,"INDICATIONS AND USAGE---------------------------- 
SPRYCEL is a kinase inhibitor indicated for the treatment of  
• newly diagnosed adults with Philadelphia chromosome-positive (Ph+) 
chronic myeloid leukemia (CML) in chronic phase. (1, 14) 
• adults with chronic, accelerated, or myeloid or lymphoid blast phase Ph+ 
CML with resistance or intolerance to prior therapy including imatinib. (1, 
14) 
• adults with Philadelphia chromosome-positive acute lymphoblastic 
leukemia (Ph+ ALL) with resistance or intolerance to prior therapy. (1, 14) 
• pediatric patients 1 year of age and older with Ph+ CML in chronic phase. 
(1, 14) 
• pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL in 
combination with chemotherapy. (1, 14) 
-----------------------"
3,Chronic Myelogenous Leukemia,Rearrangement,Imatinib,"INDICATIONS AND USAGE----------------------------
Gleevec is a kinase inhibitor indicated for the treatment of: 
•	 Newly diagnosed adult and pediatric patients with Philadelphia 
chromosome positive chronic myeloid leukemia (Ph+ CML) in chronic 
phase (1.1) 
•	 Patients with Philadelphia chromosome positive chronic myeloid leukemia 
(Ph+ CML) in blast crisis (BC), accelerated phase (AP), or in chronic phase 
(CP) after failure of interferon-alpha therapy (1.2) 
•	 Adult patients with relapsed or refractory Philadelphia chromosome 
positive acute lymphoblastic leukemia (Ph+ ALL) (1.3) 
•	 Pediatric patients with newly diagnosed Philadelphia chromosome positive 
acute lymphoblastic leukemia (Ph+ ALL) in combination with 
chemotherapy (1.4) 
•	 Adult patients with myelodysplastic/myeloproliferative diseases 
(MDS/MPD) associated with PDGFR (platelet-derived growth factor 
receptor) gene re-arrangements (1.5) 
•	 Adult patients with aggressive systemic mastocytosis (ASM) without the 
D816V c-Kit mutation or with c-Kit mutational status unknown (1.6) 
•	 Adult patients with hypereosinophilic syndrome (HES) and/or chronic 
eosinophilic leukemia (CEL) who have the FIP1L1-PDGFRα fusion kinase 
(mutational analysis or FISH demonstration of CHIC2 allele deletion) and 
for patients with HES and/or CEL who are FIP1L1-PDGFRα fusion kinase 
negative or unknown (1.7) 
•	 Adult patients with unresectable, recurrent and/or metastatic 
dermatofibrosarcoma protuberans (DFSP) (1.8) 
•	 Patients with Kit (CD117) positive unresectable and/or metastatic 
malignant gastrointestinal stromal tumors (GIST) (1.9) 
•	 Adjuvant treatment of adult patients following resection of Kit (CD117) 
positive GIST (1.10) 
-----------------------"
5,Chronic Myeloid Leukemia,Rearrangement,Asciminib,"INDICATIONS AND USAGE-------------------------­
SCEMBLIX is a kinase inhibitor indicated for the treatment of adult patients 
with: 
•	 Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) 
in chronic phase (CP), previously treated with two or more tyrosine kinase 
inhibitors (TKIs). (1) 
This indication is approved under accelerated approval based on major 
molecular response (MMR).  Continued approval for this indication may be 
contingent upon verification and description of clinical benefit in a 
confirmatory trial(s). 
•	 Ph+ CML in CP with the T315I mutation. (1) 
----------------------"
6,Non-Small Cell Lung Cancer,Rearrangement,Alectinib,"INDICATIONS AND USAGE---------------------------­
ALECENSA is a kinase inhibitor indicated for the treatment of patients with 
anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung 
cancer (NSCLC) as detected by an FDA-approved test. (1) 
-----------------------"
7,Non-Small Cell Lung Cancer,Rearrangement,Crizotinib,"INDICATIONS AND USAGE----------------------------
XALKORI is a kinase inhibitor indicated for the treatment of 
 patients with metastatic non-small cell lung cancer (NSCLC) whose 
tumors are anaplastic lymphoma kinase (ALK) or ROS1-positive as 
detected by an FDA-approved test. (1.1, 2.1)
 pediatric patients 1 year of age and older and young adults with relapsed 
or refractory, systemic anaplastic large cell lymphoma (ALCL) that is 
ALK-positive. (1.2, 2.2) 
o Limitations of Use: The safety and efficacy of XALKORI have not
been established in older adults with relapsed or refractory, 
systemic ALK-positive ALCL.
 adult and pediatric patients 1 year of age and older with unresectable, 
recurrent, or refractory inflammatory myofibroblastic tumor (IMT) that
is ALK-positive. (1.3, 2.2)
-----------------------"
8,Non-Small Cell Lung Cancer,Rearrangement,Lorlatinib,"INDICATIONS AND USAGE---------------------------- females of reproductive potential to use an effective non-hormonal 
LORBRENA is a kinase inhibitor indicated for the treatment of patients with method of contraception. (5.6, 7.2, 8.1, 8.3) 
anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung 
cancer (NSCLC) whose disease has progressed on ------------------------------ ADVERSE REACTIONS -----------------------------­
• crizotinib and at least one other ALK inhibitor for metastatic disease; or	 Most common adverse reactions (incidence ≥20%) are edema, peripheral 
•	 alectinib as the first ALK inhibitor therapy for metastatic disease; or neuropathy, cognitive effects, dyspnea, fatigue, weight gain, arthralgia, mood 
effects, and diarrhea. (6.1) •	 ceritinib as the first ALK inhibitor therapy for metastatic disease. 
This indication is approved under accelerated approval based on tumor To report SUSPECTED ADVERSE REACTIONS, contact Pfizer, Inc. at
response rate and duration of response. Continued approval for this indication 1-800-438-1985 or www.pfizer.com or FDA at 1-800-FDA-1088 or
may be contingent upon verification and description of clinical benefit in a www.fda.gov/medwatch.
confirmatory trial. (1)
------------------------------ DRUG INTERACTIONS------------------------------­
-----------------------"
9,Non-Small Cell Lung Cancer,Rearrangement,Ceritinib,"INDICATIONS AND USAGE--------------------------
ZYKADIA is a kinase inhibitor indicated for the treatment of adults with 
metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic 
lymphoma kinase (ALK)-positive as detected by an FDA-approved test. (1, 
2.1) 
--------------------------"
10,Cholangiocarcinoma,Rearrangement,Pemigatinib,"INDICATIONS AND USAGE______________________ 
PEMAZYRE is a kinase inhibitor indicated: 
for the treatment of adults with previously treated, unresectable locally 
advanced or metastatic cholangiocarcinoma with a fibroblast growth factor 
receptor 2 (FGFR2) fusion or other rearrangement as detected by an 
FDA-approved test. (1,2.1) 
This indication is approved under accelerated approval based on overall 
response rate and duration of response. Continued approval for this 
indication may be contingent upon verification and description of clinical 
benefit in a confirmatory trial(s). (1,2.1) 
For the treatment of adults with relapsed or refractory myeloid/lymphoid 
neoplasms (MLNs) with FGFR1 rearrangement. (1,2.1)"
12,Cholangiocarcinoma,Rearrangement,Infigratinib,"INDICATIONS AND USAGE-------------------------­
TRUSELTIQ is a kinase inhibitor indicated for the treatment of adults with 
previously treated, unresectable locally advanced or metastatic 
cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) 
fusion or other rearrangement as detected by an FDA-approved test. (1, 2.1) 
This indication is approved under accelerated approval based on overall 
response rate and duration of response. Continued approval for this indication 
may be contingent upon verification and description of clinical benefit in 
confirmatory trial(s). (1) 
------------------------"
