,Question_index,prompt,Asking_therapy,Given_biomarker,Question_category,Is_there_an_approval,Groundtruth_answers,Groundtruth_therapies
0,q0,What is the first-line treatment of metastatic urothelial carcinoma with FGFR3 S249C mutation? ,True,True,"given disease and biomarker, return drugs",True,erdafitinib,[{'erdafitinib'}]
1,q1,Are PARP inhibitors used for patients with leiomyosarcoma who have mutations in DNA damage repair genes?,True,True,"given disease and biomarker, return drugs",False,PARP inhibitors are not yet approved for the treatment of patients with leimyosarcoma with mutations in DNA repair pathway genes.,[]
2,q2,Are ALK inhibitors approved for use in TFCP2 fusion positive rhabdomyosarcoma?,True,True,"given disease and biomarker, return drugs",False,"No, no ALK inhibitors are currently approved for use for the treatment of patients with rhabdomyosarcoma, nevermind TFCP2 fusion positive rhabdomyosarcoma.",[]
3,q3,"For a patient with cancer metastatic prostate cancer, advanced stage (most often stage IV, but some stage III or earlier potentially) and with BRCA2 mutation, what drugs approved?",True,True,"given disease and biomarker, return drugs",True,"The following therapy and combination therapies are approved by the US FDA for use for the treatment of patients with BRCA2 mutated metastatic castration resistant prostate cancer: olaparib; abiraterone, olaparib, and prednisone; enzalutamide and talazoparib; abiraterone acetate and niraparib; and rucaparib.","[{'olaparib'}, {'prednisone', 'olaparib', 'abiraterone'}, {'talazoparib', 'enzalutamide'}, {'abiraterone acetate', 'niraparib'}, {'rucaparib'}]"
4,q4,"For a patient with HER2+ breast cancer after neoadjvuant chemotherapy + trastuzumab then surgery, if residual disease at time of surgery, what treatment options are approved afterwards?",True,True,"given disease and biomarker, return drugs; HER2-related",True,TDM-1 (ado-trastuzumab emtansine (Kadcyla)),[{'ado-trastuzumab emtansine'}]
5,q5,"For patients with advanced cancer and with NTRK fusions, regardless of cancer types, are there drugs approved?",True,True,"given disease and biomarker, return drugs",True,"Yes, the TRK inhibitors Entrectinib and Larotrectinib are approved for use for the treatment of patients with any solid tumor harboring an NTRK1/2/3 fusion. Repotrectinib was also approved after the release of the version of MOAlamanc used in the study.","[{'entrectinib'}, {'larotrectinib'}]"
6,q6,"For patients with advanced cancer and with high TMB, regardless of cancer types, are there drugs approved?",True,True,"given disease and biomarker, return drugs",True,"Yes, Keytruda (pembrolizumab) is approved by the FDA for the treatment of adult and pediatric patients with unresectable or metastatic tumor mutational burden-high (TMB-H) [>=10 mutations/megabase (mut/Mb)] solid tumors.",[{'pembrolizumab'}]
7,q7,What FDA-approved therapies exist for a Stage IV pancreatic ductal adenocarcinoma patient with a NTRK mutation,True,True,"given disease and biomarker, return drugs",True,"While no drugs are approved for use by the US FDA specifically for the treatment of patients with NTRK fusion positive pancreatic adenocarcinoma, a few therapies have received approval for use in any solid tumor that harbors an NTRK fusion. These include: Entrectinib, Larotrectinib. Repotrectinib was also approved after the release of the version of MOAlamanc used in the study.","[{'entrectinib'}, {'larotrectinib'}]"
8,q8,What are available FDA-approved targeted therapies in patients with FGFR2 mutated bladder cancer? In which disease setting are they approved (metastatic disease only or peri-operative)?,True,True,"given disease and biomarker, return drugs",False,There are not currently approved therapies for use from the US FDA for the treatment of patients with FGFR2 mutated bladder cancer.,[]
9,q9,"A patient with localized Ewing sarcoma has a STAG2 mutation, and has just relapsed. What are reasonable relapse regimens to consider?",True,True,"given disease and biomarker, return drugs",False,The US FDA has not yet approved any treatments for use for the treatment of patients with localized or relapsed Ewing sarcoma with STAG2 mutations.,[]
10,q10,"A patient with relapsed high-risk neuroblastoma has ALK mutation X. Should they receive an ALK inhibitor, and if so, which one?",True,True,"given disease and biomarker, return drugs",False,The US FDA has not yet approved any biomarker-based treatments for use for the treatment of patients with neuroblastoma,[]
11,q11,"I have a 3 year old patient with Neuroblastoma in the setting of a germline BARD1 mutation, is there any evidence for a treatment that this patient would be particularly susceptible to?",True,True,"given disease and biomarker, return drugs",False,The US FDA has not yet approved any biomarker-based treatments for use for the treatment of patients with neuroblastoma,[]
12,q12,"My 20 year old patient with ALK mutated Neuroblastoma has failed therapy with broad chemotherapy, radiation, and an ALK inhibitor. What is a good next line and what evidence supports this choice?",True,True,"given disease and biomarker, return drugs",False,The US FDA has not yet approved any biomarker-based treatments for use for the treatment of patients with neuroblastoma,[]
13,q13,"For a 17-year-old osteosarcoma patient with 50% tumor necrosis after first-line therapy and MYC amplification, are there effective salvage therapies? What evidence supports them?",True,True,"given disease and biomarker, return drugs",False,The US FDA has not yet approved any biomarker-based treatments for use for the treatment of patients with osteosarcoma,[]
14,q14,Is there an optimal drug combination to minimize the risk of post HSCT relapse in a 2 year old with KMT2A rearranged AML?,True,True,"given disease and biomarker, return drugs; not included in the version of MOAlamanc used in the study",False,"The US FDA has not yet approved any biomarker-based treatments for use for the treatment of patients with KMT2A translocation positive AML. However, Revumenib was approved on November, 2024, which is not included in the version of MOAlamanc used in the study.",[]
15,q15,"For a 4 year old patient with medulloblastoma, SHH subtype, and a germline PTCH1 mutation, are there therapies specifically targeting this pathway?",True,True,"given disease and biomarker, return drugs",False,"The US FDA has not yet approved any biomarker-based treatments for use for the treatment of patients with medulloblastoma, does not have access to clinical trial information.",[]
16,q16,"For toddler with unresectable hepatoblastoma and a CTNNB1 mutation, are there targeted therapies that target the impacted pathway that would best decrease the likeliohood of liver transplant?",True,True,"given disease and biomarker, return drugs",False,"The US FDA has not yet approved any biomarker-based treatments for use for the treatment of patients with hepatoblastoma. However, there is clinical evidence that CTNNB1 is associated with favorable prognosis in patients with medulloblastoma.",[]
17,q17,"I have a patient with de novo metastatic HR+ breast cancer with both a somatic AKT mutation and a germline BRCA2 mutation - what are the standard, recommended first- and second-line treatments for this patient?",True,True,"given disease and biomarker, return drugs; HER2-related",True,"Two therapeutic hypotheses to consider for this patient are either PARP or PI3K/Akt/mTOR inhibition, though all treatment options are indicated for patients that have HER2-negative breast cancer. For first line treatment, talazoparib is approved for use and indicated for the treatment of adult patients with deleterious or suspected deleterious germline BRCA-mutated, HER2-negative locally advanced or metastatic breast cancer. For second line treatments, options will vary depending on the type of first line treatment. Capivasertib in combination with fulvestrant is approved for use for the treatment of adult patients with locally advanced or metastatic HR-positive, HER2-negative breast cancer with one or more PIK3CA/AKT1/PTEN-alterations, as detected by an FDA-approved test, following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy. Olaparib is also approved for use for the treatment of patients with deleterious or suspected deleterious germline BRCA-mutated, HER2-negative (i) metastatic breast cancer who have been treated with chemotherapy either in the neoadjuvant, adjuvant, or metastatic setting; and (ii) high risk early breast cancer who have been treated with chemotherapy in the neoadjuvant or adjuvant setting.","[{'talazoparib'}, {'capivasertib', 'fulvestrant'}, {'olaparib'}]"
18,q18,I have a patient with an initial diagnosis of cT3N1 HER2+ breast cancer who received neoadjuvant TCHP and had 1cm of residual disease at surgery. What is the recommended adjuvant treatment for this patient and what are the clinical trials that I should consider?,True,True,"given disease and biomarker, return drugs; HER2-related",True,"While this version of MOAlmanac does not directly curate HER2+ status as a biomarker, a number of FDA approvals and companion diagnostics include ERBB2 amplifications for approvals based on HER2+. For FDA approvals for patients with breast cancer: Ado-Trastuzumab Emtansine; Capecitabine + Trastuzumab + Tucatinib; Chemotherapy + Hyaluronidase-zzxf + Pertuzumab + Trastuzumab; Lapatinib; Margetuximab-cmkb + Chemotherapy; Neratinib; Neratinib + Capecitabine; Pertuzumab + Trastuzumab; Trastuzumab; Docetaxel + Hyaluronidase-zzxf + Pertuzumab + Trastuzumab","[{'ado-trastuzumab emtansine'}, {'trastuzumab', 'tucatinib', 'capecitabine'}, {'trastuzumab', 'hyaluronidase-zzxf', 'pertuzumab', 'chemotherapy'}, {'lapatinib'}, {'chemotherapy', 'margetuximab-cmkb'}, {'neratinib'}, {'capecitabine', 'neratinib'}, {'trastuzumab', 'pertuzumab'}, {'trastuzumab'}, {'trastuzumab', 'pertuzumab', 'hyaluronidase-zzxf', 'docetaxel'}, {'trastuzumab', 'pertuzumab', 'docetaxel'}]"
